wat	wat	pron(inter)
ghy	gij	Pron(pers,2,plu)
vriesen	vriesen	V(infin)
aensiet	aanzien	V(fin,pres,lex)
uus	uw	Pron(poss)
olders	ouder	N(plu)
daden	doen	N(plu)
schoon	schoon	Adj()
hoe	hoe	Adv(inter)
sy	zij	Pron(pers,3,plu)
als	als	Conj(comp)
helden	held	N(plu)
met	met	Adp()
vliet	vlijt	N(sing)
pleghen	plegen	v(fin,pres,lex)
te	te	Adp()
strijden	strijden	V(infin)
coen	koen	Adj()
wilt	willen	V(fin,pres,aux_cop)
eens	eens	Adv(gener)
de	de	Art(def)
tyrannen	tiran	N(plu)
wreede	wreed	Adj()
van	van	Adp()
u	gij	Pron(poss)
drijven	drijven	V(infin)
verbaest	verbaasd	V(participle,past)
so	zo	adv(resum)
hebdy	hebben+gij	V(fin,pres,aux_cop)+Pron(pers,2,sing)
pardoen	pardon	n(plu)
ghereede	gereed	adv(gener)
van	van	adp()
onsen	ons	Pron(poss)
prince	prins	N(sing)
haest	haast	Adv(gener)
met	met	Adp()
preuilegie	privilegie	N(sing)
bisschoplicker	bisschopdom	Adj()
heylicheyt	heiligheid	n(sing)
cuneri	ruiner	n(sing)
petri	petrus	n(prop)
episcopi	blijdschap	n(sing)
leonardiensis	leopardus	n(sing)
residerende	visiteren	v(participle,pres)
in	in	adp()
synen	zijn	pron(poss)
lusthoff	lust	N(sing)
rapenburch	wapenrok	N(sing)
buyten	buiten	v(infin)
leeuwarden	leeuw	adj()
